Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 128C, Sample, n/a, Earth_F2	Abundances Count: F5: 128C, Sample, n/a, Earth_F2	Modifications
Q9VJD2	Ragulator complex protein LAMTOR3 homolog	6.45	1	1	0	12935.091	1	
Q9VJD3	Conserved oligomeric Golgi complex subunit 5	1.07	1	1	0	2351.299	1	
Q9VJE4	DNA-directed RNA polymerase II subunit RPB11	26.5	3	3	3	21179.7209	3	
Q9VJG0	Xaa-Pro aminopeptidase ApepP	3.43	2	2	2	7861.1951	2	
Q9VJG4	Electron transfer flavoprotein regulatory factor 1 homolog	11.76	1	1	1	15047.583	1	
Q9VJI9	Cytosolic Fe-S cluster assembly factor Nubp1 homolog	37.3	9	11	9	132595.2999	10	
Q9VJL6	Glia maturation factor	10.87	2	3	2	205696.737	3	
Q9VJQ5	Protein Dr1	17.49	3	3	3	35039.442	3	
Q9VJY6	Large ribosomal subunit protein eL24	29.68	7	17	0	524634.2711	14	
Q9VJY9	Protein Loquacious	12.69	5	5	0	106908.9037	5	
Q9VKA0	UPAR/Ly6 domain-containing protein crok	9.93	1	2	1	10470.2914	2	
Q9VKD3	Cysteine desulfurase, mitochondrial	23.38	10	14	9	282755.5992	13	
Q9VKH0	Conserved oligomeric Golgi complex subunit 8	1.93	1	1	1	4734.323	1	
Q9VKJ8	Alpha-L-iduronidase	1.42	1	1	1	3930.9492	1	
Q9VKJ9	Coiled-coil and C2 domain-containing protein 1-like	10.54	9	11	0	133053.11794999999	10	
Q9VKK1	Enhancer of mRNA-decapping protein 4 homolog	3.62	6	8	6	38391.88554	8	
Q9VKV5	CD2 antigen cytoplasmic tail-binding protein 2 homolog	5.64	2	2	2	62318.041000000005	2	
Q9VKX4	Small ribosomal subunit protein uS7m	16.51	4	5	0	117514.1674	4	
Q9VL00	Ubiquitin thioesterase otubain-like	9.16	2	2	2	53616.653	2	
Q9VL13	MOB kinase activator-like 3	4.09	1	1	1	11892.501	1	
Q9VL18	Probable elongation factor 1-delta	54.69	16	44	16	1862477.616	35	
Q9VL78	FK506-binding protein 59	55.58	29	59	0	2284158.1867	58	
Q9VLF6	UPF0585 protein CG18661	17.57	3	3	0	30777.9881	3	
Q9VLJ6	Angiotensin-converting enzyme-related protein	7.78	6	6	0	84512.62229999999	5	
Q9VLM8	Alanine--tRNA ligase, cytoplasmic	10.77	9	11	9	111225.12954	9	
Q9VLP3	Guanine nucleotide exchange factor MSS4 homolog	51.64	6	9	6	196830.3727	8	
Q9VLR5	RNA polymerase II transcriptional coactivator	25.45	3	7	3	100314.4913	6	
Q9VLS9	Beta-lactamase-like protein 2 homolog	48.63	10	19	10	743515.6368	18	
Q9VLT8	WASH complex subunit 3	19.89	3	3	3	19808.7416	3	
Q9VLU0	Barrier-to-autointegration factor	55.56	4	13	0	583216.11616	13	
Q9VLU4	Serine protease inhibitor 28Dc	13.43	6	8	6	239539.4607	8	
Q9VLV5	Probable small nuclear ribonucleoprotein E	27.66	3	9	3	175796.3481	9	
Q9VLV7	Protein spaetzle 3	1.8	1	1	1	4008.241	1	
Q9VM33	Elongation factor G, mitochondrial	3.89	3	3	3	20331.4003	2	
Q9VM65	FGFR1 oncogene partner 2 homolog	14.29	5	6	0	69206.6786	5	
Q9VMA2	Probable galactose-1-phosphate uridylyltransferase	5.71	3	6	0	49679.0373	5	
Q9VMA7	Transport and Golgi organization protein 1	3.36	6	6	1	46513.9759	6	
Q9VMC8	PHD finger-like domain-containing protein 5A	26.13	3	3	3	55659.15015	3	
Q9VMD6	Protein real-time	2.58	2	2	0	20257.269	2	
Q9VMD9	Tiggrin	11.33	29	34	0	435530.7183	32	
Q9VMG0	Arylalkylamine N-acetyltransferase-like 2	20.37	4	5	4	51323.6584	5	
Q9VMM6	Protein obstructor-E	36.95	8	16	8	387045.8233	16	
Q9VMQ5	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial	7.55	3	4	3	17419.93534	3	
Q9VMQ7	Elongator complex protein 4	14.42	5	5	5	60076.625779999995	4	
Q9VMR8	Protein Turandot M	33.59	3	5	0	700257.72	5	
Q9VMT5	Probable cytochrome P450 28d1	14.94	10	14	10	100955.4549	10	
Q9VMU4	Large ribosomal subunit protein eL43	18.48	2	3	0	30502.5923	3	
Q9VMU5	Protein quick-to-court	5.55	4	5	0	53085.379	5	
Q9VMW7	Inosine triphosphate pyrophosphatase	31.41	7	13	7	803111.5719999999	12	
Q9VMX0	Large ribosomal subunit protein bL28m	9.93	3	3	0	44240.1045	3	
Q9VMY1	Large ribosomal subunit protein uL24m	9.31	3	4	3	53047.392	3	
Q9VMY9	Guanine deaminase	4.46	2	2	2	42669.096	2	
Q9VN12	Probable sodium/potassium/calcium exchanger CG1090	4.58	2	4	0	30976.7707	4	
Q9VN13	Sideroflexin-1-3	16.2	5	7	5	97635.80249999999	6	
Q9VN14	Contactin	19.78	25	34	25	599946.93381	30	
Q9VN19	Golgi to ER traffic protein 4 homolog	5.9	2	3	0	16017.4135	3	
Q9VN25	Eukaryotic translation initiation factor 3 subunit A	3.07	4	4	4	58727.27343	3	
