Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 126, Sample, n/a, SFug_F1	Abundances Count: F5: 126, Sample, n/a, SFug_F1	Modifications
Q9VI80	Thawb	1.58	2	3	2	7550.83134	2	
Q9VIB5	Carboxylic ester hydrolase	6.99	4	5	3	18461.81233	5	
Q9VIE7	GMP synthase (glutamine-hydrolyzing)	5.86	4	7	4	12961.9266	3	
Q9VIE8	Aconitate hydratase, mitochondrial	71.92	51	330	44	17005042.05009	257	
Q9VIF2	GM01519p	8.7	4	11	4	55104.6895	10	
Q9VIG0	Malectin domain-containing protein	18.16	7	12	7	52957.82913	11	
Q9VIH1	CG9273 protein	16.67	5	12	5	22012.10851	10	
Q9VII5	GEO08323p1	25.79	4	13	4	77874.09846000001	10	
Q9VII9	Glyoxylate reductase/hydroxypyruvate reductase	2.76	1	1	0	5277.2046	1	
Q9VIJ3	FI14214p	12.78	2	3	1	617.36017	1	
Q9VIK0	Alpha-methylacyl-CoA racemase, isoform A	8.04	3	3	3	1207.81212	2	
Q9VIK6	Centrocortin, isoform A	14.56	12	20	12	45655.20763	15	
Q9VIL2	LD19544p	8.63	3	8	3	49366.5401	8	
Q9VIM0	Lysosomal Pro-X carboxypeptidase	9.05	6	18	6	144613.85502000002	17	
Q9VIN9	Small ribosomal subunit protein mS40	15.2	3	6	3	57739.07915	5	
Q9VIQ5	RH02620p	27.49	7	16	7	17123.10926	8	
Q9VIQ6	FI17342p1	14.79	3	8	3	48653.0045	7	
Q9VIQ8	Cytochrome c oxidase subunit 4	47.25	11	50	11	1310806.00386	42	
Q9VIS4	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]	6.13	3	3	3	16538.707300000002	3	
Q9VIU3	FI23988p1	6.9	3	4	3	9795.51333	4	
Q9VIV6	GH04973p	4.56	2	2	2	919.9942	1	
Q9VIW6	small monomeric GTPase	11.72	3	3	3	17257.8984	3	
Q9VIW9	alkaline phosphatase	2.35	1	1	1	1613.0643	1	
Q9VIX1	Galactose-specific C-type lectin, isoform A	24.19	2	2	2	24593.2011	2	
Q9VIX7	Fondue, isoform B	19.41	7	15	1	99568.30502	11	
Q9VJ19	Large ribosomal subunit protein eL30	42.34	4	18	4	260873.66556999995	10	
