Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 129N, Sample, n/a, Earth_M2	Abundances Count: F5: 129N, Sample, n/a, Earth_M2	Modifications
Q7K2P3	GH20817p	58.7	13	31	1	626428.5449	23	
Q7K2Q8	Trafficking protein particle complex subunit 5	35.57	7	8	7	167691.50912	8	
Q7K2W6	tyrosinase	22.32	13	21	13	84337.48642	15	
Q7K332	GH17623p	23.43	6	10	5	252355.8607	9	
Q7K3D4	peptidylprolyl isomerase	34.76	12	14	12	300459.4	12	
Q7K3E2	LD34147p	59.21	30	59	30	1477707.73624	56	
Q7K3H0	LD28067p	1.44	3	3	0	54304.514	3	
Q7K3J0	T-complex protein 1 subunit theta	41.21	21	39	21	1448845.794	35	
Q7K3N4	GH26015p	14.95	6	7	6	120606.9846	6	
Q7K3V6	Elongation factor Tu, mitochondrial	10.31	5	7	5	89445.69499999999	6	
Q7K3W2	Mitochondrial-processing peptidase subunit alpha	18.35	9	12	9	222860.5865	11	
Q7K3W4	GH08941p	25.85	8	20	8	799666.82813	20	
Q7K3Y9	Spondin-1	1.26	1	1	1	480.38452	1	
Q7K3Z3	GH01724p	51.6	16	44	16	1000982.06304	39	
Q7K485	Cathepsin D	35.71	9	36	9	1112042.8826	29	
Q7K4C7	choline-phosphate cytidylyltransferase	4.18	2	4	0	72449.99059999999	4	
Q7K4J7	LD36653p	7.38	2	2	2	12736.9582	2	
Q7K4Q9	Hydroxymethylglutaryl-CoA synthase	1.94	1	1	1	2541.12	1	
Q7K4T8	LD23856p	6.55	3	4	3	12831.8046	2	
Q7K4Y0	Desaturase 1, isoform A	5.48	2	2	1	22105.084499999997	2	
Q7K511	D-2-hydroxyglutarate dehydrogenase, mitochondrial	17.45	7	10	7	90244.4991	9	
Q7K519	GH16429p	17.66	5	8	5	60633.473999999995	7	
Q7K533	GH14572p	6.14	2	2	2	21188.950399999998	2	
Q7K549	GH13040p	18.08	8	8	8	65647.4146	8	
Q7K561	GH11294p	6.82	2	2	2	897.01953	1	
Q7K568	GH10642p	8.33	3	3	3	43203.954	3	
